"contrast","estimate","SE","df","t.ratio","p.value","ROI"
"Joy - Anger",-0.102027368056322,0.0346612607449257,312.019117095019,-2.94355617376838,0.0348812610167812,"Left DLPFC"
"Joy - Sadness",-0.00274487620819159,0.0346612607449257,312.019117095019,-0.0791914705120307,1,"Left DLPFC"
"Joy - Disgust",0.0515050652712353,0.0346612607449257,312.019117095019,1.48595475652961,1,"Left DLPFC"
"Joy - Fear",-0.0910420431063078,0.0346612607449257,312.019117095019,-2.62662237753819,0.090493045461744,"Left DLPFC"
"Anger - Sadness",0.09928249184813,0.0346612607449257,312.019117095005,2.86436470325635,0.0446176162758467,"Left DLPFC"
"Anger - Disgust",0.153532433327557,0.0346612607449257,312.019117095005,4.42951093029799,0.000130851546936525,"Left DLPFC"
"Anger - Fear",0.0109853249500137,0.0346612607449257,312.019117095005,0.316933796230189,1,"Left DLPFC"
"Sadness - Disgust",0.0542499414794269,0.0346612607449257,312.019117095005,1.56514622704164,1,"Left DLPFC"
"Sadness - Fear",-0.0882971668981162,0.0346612607449257,312.019117095005,-2.54743090702616,0.113314941293649,"Left DLPFC"
"Disgust - Fear",-0.142547108377543,0.0346612607449257,312.019117095005,-4.1125771340678,0.000500938974908313,"Left DLPFC"
"Joy - Anger",-0.100190145383495,0.0264877817240711,311.009174621631,-3.78250419107182,0.0018618432638863,"Left FPC"
"Joy - Sadness",-0.0208637678822248,0.0264877817240711,311.009174621631,-0.787675166594435,1,"Left FPC"
"Joy - Disgust",0.0224116893034744,0.0264877817240711,311.009174621631,0.846114240027411,1,"Left FPC"
"Joy - Fear",-0.0481698585208506,0.0264877817240711,311.009174621631,-1.81856899239983,0.69938928025266,"Left FPC"
"Anger - Sadness",0.0793263775012699,0.0264877817240711,311.009174621638,2.99482902447739,0.0296653252021986,"Left FPC"
"Anger - Disgust",0.122601834686969,0.0264877817240711,311.009174621638,4.62861843109923,5.41290729115281e-05,"Left FPC"
"Anger - Fear",0.052020286862644,0.0264877817240711,311.009174621638,1.96393519867199,0.504280385721606,"Left FPC"
"Sadness - Disgust",0.0432754571856992,0.0264877817240711,311.009174621638,1.63378940662185,1,"Left FPC"
"Sadness - Fear",-0.0273060906386259,0.0264877817240711,311.009174621638,-1.03089382580539,1,"Left FPC"
"Disgust - Fear",-0.070581547824325,0.0264877817240711,311.009174621631,-2.66468323242724,0.0810811210470887,"Left FPC"
"Joy - Anger",-0.0822456556381242,0.0299316456951829,301.011255579801,-2.74778261361555,0.0636192881528355,"Right FPC"
"Joy - Sadness",-0.0309103580912348,0.0299316456951829,301.011255579801,-1.0326982487371,1,"Right FPC"
"Joy - Disgust",0.0181246442992075,0.0299316456951829,301.011255579801,0.605534506314314,1,"Right FPC"
"Joy - Fear",-0.0694196025717661,0.0299316456951829,301.011255579801,-2.31927115798175,0.210495280465258,"Right FPC"
"Anger - Sadness",0.0513352975468893,0.0299316456951829,301.011255579801,1.71508436487844,0.873588949901746,"Right FPC"
"Anger - Disgust",0.100370299937332,0.0299316456951828,301.011255579808,3.35331711992987,0.00900599282425527,"Right FPC"
"Anger - Fear",0.0128260530663581,0.0299316456951829,301.011255579801,0.428511455633803,1,"Right FPC"
"Sadness - Disgust",0.0490350023904424,0.0299316456951828,301.011255579808,1.63823275505142,1,"Right FPC"
"Sadness - Fear",-0.0385092444805313,0.0299316456951829,301.011255579801,-1.28657290924464,1,"Right FPC"
"Disgust - Fear",-0.0875442468709736,0.0299316456951828,301.011255579808,-2.92480566429606,0.0370866767784132,"Right FPC"
"Joy - Anger",-0.0907381555146966,0.0238490872208146,327.000990602817,-3.80468043387018,0.0016944601072969,"Left OFC"
"Joy - Sadness",-0.0236895648878877,0.0238490872208146,327.000990602817,-0.993311176589281,1,"Left OFC"
"Joy - Disgust",0.0128045772801171,0.0238490872208146,327.000990602817,0.536900098589172,1,"Left OFC"
"Joy - Fear",-0.0497313435964025,0.0238490872208146,327.000990602817,-2.08525144530474,0.378216649970378,"Left OFC"
"Anger - Sadness",0.0670485906268088,0.0238490872208146,327.000990602825,2.8113692572809,0.0523075501214137,"Left OFC"
"Anger - Disgust",0.103542732794814,0.0238490872208146,327.000990602817,4.34158053245935,0.000188885485513483,"Left OFC"
"Anger - Fear",0.0410068119182941,0.0238490872208146,327.000990602817,1.71942898856544,0.864825571804315,"Left OFC"
"Sadness - Disgust",0.0364941421680048,0.0238490872208146,327.000990602825,1.53021127517845,1,"Left OFC"
"Sadness - Fear",-0.0260417787085147,0.0238490872208146,327.000990602825,-1.09194026871546,1,"Left OFC"
"Disgust - Fear",-0.0625359208765195,0.0238490872208146,327.000990602817,-2.62215154389391,0.0914641062040708,"Left OFC"
"Joy - Anger",-0.0907381555146966,0.0238490872208146,327.000990602817,-3.80468043387018,0.0016944601072969,"Right OFC"
"Joy - Sadness",-0.0236895648878877,0.0238490872208146,327.000990602817,-0.993311176589281,1,"Right OFC"
"Joy - Disgust",0.0128045772801171,0.0238490872208146,327.000990602817,0.536900098589172,1,"Right OFC"
"Joy - Fear",-0.0497313435964025,0.0238490872208146,327.000990602817,-2.08525144530474,0.378216649970378,"Right OFC"
"Anger - Sadness",0.0670485906268088,0.0238490872208146,327.000990602825,2.8113692572809,0.0523075501214137,"Right OFC"
"Anger - Disgust",0.103542732794814,0.0238490872208146,327.000990602817,4.34158053245935,0.000188885485513483,"Right OFC"
"Anger - Fear",0.0410068119182941,0.0238490872208146,327.000990602817,1.71942898856544,0.864825571804315,"Right OFC"
"Sadness - Disgust",0.0364941421680048,0.0238490872208146,327.000990602825,1.53021127517845,1,"Right OFC"
"Sadness - Fear",-0.0260417787085147,0.0238490872208146,327.000990602825,-1.09194026871546,1,"Right OFC"
"Disgust - Fear",-0.0625359208765195,0.0238490872208146,327.000990602817,-2.62215154389391,0.0914641062040708,"Right OFC"
